geo_region,education_grouped,age_group,family_income_grouped,year,weight,time_at_curr_address_-9,time_at_curr_address_-3,time_at_curr_address_-2,time_at_curr_address_1,time_at_curr_address_2,time_at_curr_address_3,time_at_curr_address_4,time_at_curr_address_5,time_at_curr_address_6,curr_student_-1,curr_student_1,curr_student_2,lease_type_1,lease_type_2,lease_type_3,marital_status_1,marital_status_2,marital_status_3,marital_status_4,marital_status_5,marital_status_6,job_industry_code_-1,job_industry_code_1,job_industry_code_2,job_industry_code_3,job_industry_code_4,job_industry_code_5,job_industry_code_6,job_industry_code_7,job_industry_code_8,job_industry_code_9,job_industry_code_10,job_industry_code_11,job_industry_code_12,job_industry_code_13,job_industry_code_14,job_industry_code_15,job_industry_code_16,job_industry_code_17,job_industry_code_18,job_industry_code_19,job_industry_code_20,job_industry_code_21,job_industry_code_22,job_industry_code_23,GED_or_HS_-1,GED_or_HS_1,GED_or_HS_2,sex_1,sex_2,race_grouped_PI_only,race_grouped_american_indian_only,race_grouped_asian_only,race_grouped_black_only,race_grouped_multiracial,race_grouped_white_only,did_vote_1,time_at_curr_address_-1
1,associates,18-24,high_income,10,6428960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
1,associates,18-24,low_income,10,23548114,0.0,0.0,0.0,0.0,0.20122418296429176,0.0,0.2619524858763636,0.5368233311593447,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5368233311593447,0.20122418296429176,0.0,0.0,0.2619524858763636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.20122418296429176,0.7987758170357082,0.0,0.0,0.0,0.0,0.0,1.0,0.20122418296429176,
1,associates,18-24,lower_middle_class,10,82249933,0.0,0.0,0.0,0.06381799727423486,0.07499686352328093,0.07324534841870327,0.5933659787905238,0.0,0.19457381199325718,0.0,0.13076841047396354,0.8692315895260364,0.26781916041196047,0.7321808395880396,0.0,0.07324534841870327,0.0,0.0,0.0,0.0,0.9267546515812968,0.13076841047396354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07324534841870327,0.0,0.07138154142934074,0.0,0.07336628468742948,0.44861815267375355,0.13880226504257456,0.0,0.0,0.06381799727423486,0.0,0.0,0.0,1.0,0.0,0.0,0.1945864077481984,0.8054135922518016,0.0,0.0,0.0,0.0,0.0,1.0,0.1371716862067231,
1,associates,18-24,middle_class,10,154174030,0.0,0.0,0.0,0.04243433864964158,0.4145713580944858,0.0,0.08427322682036657,0.2449399227613107,0.2137811536741953,0.0,0.03568163847049986,0.9643183615295001,0.6221352454755188,0.3778647545244812,0.0,0.12097983039037119,0.0,0.0,0.0,0.0,0.8790201696096288,0.1158207773384402,0.0,0.036706603570004624,0.029840719607575932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1753532161026082,0.0,0.0,0.07398951691150578,0.04656842660206781,0.0868178836604323,0.0,0.0,0.0,0.033905068188202644,0.3778647545244812,0.023133033494681304,0.0,1.0,0.0,0.0,0.7046919186065254,0.29530808139347464,0.0,0.0,0.0,0.1753532161026082,0.0,0.8246467838973918,0.22675164552681148,
1,associates,18-24,upper_middle_class,10,73608451,0.0,0.0,0.0,0.0,0.07910367520164227,0.0,0.0,0.1397677285723619,0.7811285962259958,0.0,0.671726008743208,0.32827399125679196,1.0,0.0,0.0,0.07910367520164227,0.0,0.0,0.0,0.0,0.9208963247983577,0.671726008743208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07910367520164227,0.0,0.0,0.0,0.0,0.0,0.2491703160551497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.23928442672975145,0.7607155732702485,0.0,0.0,0.0,0.0,0.0,1.0,0.3889380446275116,
1,associates,25-34,high_income,10,43641002,0.0,0.0,0.0,0.0,0.0,0.0,0.4273169529883846,0.332577652547941,0.24010539446367432,1.0,0.0,0.0,1.0,0.0,0.0,0.7645803137150701,0.0,0.0,0.0,0.0,0.23541968628492993,0.0,0.1214976228089355,0.0,0.332577652547941,0.0,0.0,0.0,0.31050503835819354,0.0,0.0,0.11860777165473882,0.0,0.0,0.0,0.0,0.0,0.0,0.11681191463019112,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7598946055363257,0.24010539446367432,0.0,0.0,0.0,0.332577652547941,0.0,0.667422347452059,0.6430826909061346,
1,associates,25-34,low_income,10,69782770,0.0,0.0,0.0,0.0,0.2752348036628526,0.07411431217190145,0.055816973158273886,0.361390942205361,0.23344296880161106,1.0,0.0,0.0,0.4413929255029572,0.5586070744970427,0.0,0.1394432895111501,0.0,0.0,0.10569237936527885,0.0,0.7548643311235711,0.47686100738047515,0.0,0.0,0.0,0.09264946060467362,0.0,0.0,0.08043094305370796,0.0,0.06376703017091469,0.16150935252355272,0.0,0.0,0.0,0.0,0.0,0.0,0.12478220626667585,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4582807761858694,0.5417192238141306,0.0,0.0,0.0,0.07022196166761509,0.21970563793899267,0.7100724003933923,0.4108912844818284,
1,associates,25-34,lower_middle_class,10,292481124,0.0,0.0,0.0,0.0218492527401529,0.17880104290080615,0.20602691269744983,0.21896880087208637,0.23698953987881965,0.13736445091068508,1.0,0.0,0.0,0.15380065347396574,0.5325953821211382,0.3136039644048961,0.5520409344433455,0.0,0.0,0.03414791649939092,0.0,0.4138111490572636,0.30778896350247886,0.02533112188121925,0.0,0.03763033610333089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1707535116009743,0.0,0.07979044486987133,0.0,0.0,0.02938886408272966,0.067107240055601,0.0,0.1877247367252322,0.017978992722962866,0.03763033610333089,0.038875452352268726,0.0,1.0,0.0,0.0,0.5937848966964446,0.4062151033035554,0.0,0.02560709524625596,0.03202570091326646,0.0,0.1322105114721865,0.8101566923682911,0.09659521822680085,
1,associates,25-34,middle_class,10,359850238,0.0,0.0,0.0,0.13266587029463073,0.045210013172201934,0.014654046164615847,0.18757014133196154,0.21131509714327326,0.4085848318933167,1.0,0.0,0.0,0.852358844347909,0.14764115565209102,0.0,0.45552478973211075,0.0,0.0,0.108746291839329,0.0,0.43572891842856026,0.21264052908588044,0.031545214651212766,0.0639543553671347,0.013550776087023179,0.0,0.0,0.014473851758297294,0.0,0.0,0.0,0.23971183256519063,0.028161809913823093,0.02808872951196992,0.02652027980595639,0.01259365847633537,0.0289903768244833,0.026044882037843754,0.04546907372060707,0.0,0.0,0.17707485579042467,0.017632893715079326,0.033546880688738075,0.0,1.0,0.0,0.0,0.39907764629573483,0.6009223537042652,0.0,0.0,0.0,0.12385031408538348,0.0,0.8761496859146165,0.3559647527591742,
1,associates,25-34,upper_middle_class,10,364227614,0.0,0.0,0.0,0.01216101643517891,0.03599926665637164,0.02616236011144394,0.18929377496347655,0.20691632677801305,0.529467255055516,1.0,0.0,0.0,0.9498216656357088,0.05017833436429123,0.0,0.46264831529220624,0.0,0.0,0.03832337654662285,0.0,0.4990283081611709,0.029999608980773217,0.0824808302425966,0.0,0.06932718176607004,0.0,0.0,0.0,0.0,0.011351083336586337,0.0,0.16936624140749526,0.09705321519087237,0.024487896186805868,0.02603710876243447,0.13341681171927838,0.01279014226527042,0.0,0.1752744562634946,0.0,0.1064772700073202,0.031010699260160982,0.030927454610841232,0.0,0.0,1.0,0.0,0.0,0.4761023528545532,0.5238976471454468,0.0,0.0,0.089662921603742,0.0,0.0,0.910337078396258,0.6468342348144971,
1,associates,35-44,high_income,10,26797659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38738738335315037,0.0,0.363637696860013,0.0,0.2489749197868366,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2489749197868366,0.7510250802131634,0.0,0.0,0.0,0.0,0.0,1.0,1.0,
1,associates,35-44,low_income,10,51922000,0.0,0.0,0.0,0.0,0.24983540695658873,0.0,0.14774319171064287,0.089493355417742,0.5129280459150264,1.0,0.0,0.0,0.5057800161781133,0.3975785986672316,0.09664138515465506,0.1901265166981241,0.0,0.0,0.3307216786718539,0.3289934517160356,0.15015835291398635,0.29954121566965836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09348513154346905,0.0,0.1472450406378799,0.0,0.0,0.0896689072069643,0.1329179538538577,0.08242608142983707,0.0,0.058074284503678596,0.09664138515465506,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.21029080158699587,0.7897091984130041,0.0,0.0,0.0,0.11364941643234082,0.0,0.8863505835676592,0.1901265166981241,
1,associates,35-44,lower_middle_class,10,342444978,0.0,0.01737100083856391,0.0,0.0149655837557647,0.08704282414677432,0.0,0.21462202608209954,0.2374714807469012,0.42852708442989634,1.0,0.0,0.0,0.6868449184849778,0.27444413566491255,0.03871094585010968,0.38270556562228225,0.0,0.0,0.3333526123428798,0.012229821632834691,0.2717120004020033,0.1523247101027716,0.02691432373699462,0.0909737242518417,0.0,0.01737100083856391,0.0,0.013569111239820839,0.01464020301678946,0.04124254670775169,0.0,0.1399651888018051,0.07240371911659338,0.0,0.10153000112035517,0.039054107547753264,0.013254170134158019,0.01302376815699718,0.20418372145028216,0.0,0.0,0.0,0.04723854645051913,0.012311157327002763,0.0,1.0,0.0,0.0,0.1256400320170559,0.8743599679829441,0.0,0.0,0.015420045085315866,0.0,0.0,0.9845799549146841,0.5672305902526624,
